Id,Name,Score
17721160,1,1129,0529418,0529418,2026-02-25,2026-02-25 06:34:44,
17721161,2,1129,0529420,0529420,2026-02-25,2026-02-25 06:34:44,
17721162,3,1129,0529419,0529419,2026-02-25,2026-02-25 06:34:47,
17721166,1,0023,0525236,0525236,2026-02-25,2026-02-25 06:35:15,
17721173,2,0023,0525232,0525232,2026-02-25,2026-02-25 06:40:10,
17721174,3,0023,0525237,0525237,2026-02-25,2026-02-25 06:40:59,
17721181,1,0238,0521304,0521304,2026-02-25,2026-02-25 06:42:23,
17721182,1,1519,0528982,0528982,2026-02-25,2026-02-25 06:44:14,
17721183,2,1519,0528976,0528976,2026-02-25,2026-02-25 06:44:21,
17721184,2,0238,0523916,0523916,2026-02-25,2026-02-25 06:44:30,
17721185,3,1519,0528984,0528984,2026-02-25,2026-02-25 06:44:51,
17721187,3,0238,0523912,0523912,2026-02-25,2026-02-25 06:45:24,
17721201,1,0739,0526647,0526647,2026-02-25,2026-02-25 06:49:03,
17721202,2,0739,0526690,0526690,2026-02-25,2026-02-25 06:49:13,
17721203,3,0739,0526648,0526648,2026-02-25,2026-02-25 06:49:14,
17721210,1,1667,0526608,0526608,2026-02-25,2026-02-25 06:50:04,
17721211,2,1667,0526683,0526683,2026-02-25,2026-02-25 06:50:09,
17721214,3,1667,0526677,0526677,2026-02-25,2026-02-25 06:50:44,
17721223,1,0558,0527656,0527656,2026-02-25,2026-02-25 06:51:57,
17721224,2,0558,0527791,0527791,2026-02-25,2026-02-25 06:52:00,
17721233,3,0558,0527788,0527788,2026-02-25,2026-02-25 06:54:14,
17721244,1,1070,0525843,0525843,2026-02-25,2026-02-25 06:56:19,
17721245,2,1070,0525835,0525835,2026-02-25,2026-02-25 06:56:20,
17721246,3,1070,0525845,0525845,2026-02-25,2026-02-25 06:56:20,
17721274,1,1169,0520058,0520058,2026-02-25,2026-02-25 07:02:38,
17721275,2,1169,0529599,0529599,2026-02-25,2026-02-25 07:02:42,
17721279,3,1169,0529413,0529413,2026-02-25,2026-02-25 07:03:03,
17721310,1,0761,0525193,0525193,2026-02-25,2026-02-25 07:07:51,
17721321,1,0792,0523023,0523023,2026-02-25,2026-02-25 07:12:19,
17721322,2,0792,0523018,0523018,2026-02-25,2026-02-25 07:12:20,
17721324,3,0792,0523006,0523006,2026-02-25,2026-02-25 07:12:48,
17721326,1,0208,0521761,0521761,2026-02-25,2026-02-25 07:13:12,
17721327,2,0208,0521760,0521760,2026-02-25,2026-02-25 07:13:15,
17721328,3,0208,0521762,0521762,2026-02-25,2026-02-25 07:13:19,
17721333,1,1010,0526319,0526319,2026-02-25,2026-02-25 07:14:04,
17721334,2,1010,0526383,0526383,2026-02-25,2026-02-25 07:14:05,
17721335,3,1010,0526388,0526388,2026-02-25,2026-02-25 07:14:07,
17721336,1,1389,0522881,0522881,2026-02-25,2026-02-25 07:14:21,
17721340,1,0736,0521099,0521099,2026-02-25,2026-02-25 07:17:12,
17721341,2,0736,0521081,0521081,2026-02-25,2026-02-25 07:17:14,
17721345,3,0736,0521098,0521098,2026-02-25,2026-02-25 07:17:19,
17721346,1,0287,0525730,0525730,2026-02-25,2026-02-25 07:17:21,
17721358,1,0823,0520023,0520023,2026-02-25,2026-02-25 07:18:02,
17721359,2,0823,0520019,0520019,2026-02-25,2026-02-25 07:18:04,
17721370,1,0312,0520341,0520341,2026-02-25,2026-02-25 07:18:58,
17721372,2,0312,0520298,0520298,2026-02-25,2026-02-25 07:18:58,
17721373,3,0312,0520348,0520348,2026-02-25,2026-02-25 07:19:02,
17721388,1,1295,0529837,0529837,2026-02-25,2026-02-25 07:19:48,
17721389,2,1295,0529821,0529821,2026-02-25,2026-02-25 07:19:51,
17721396,3,0823,0520017,0520017,2026-02-25,2026-02-25 07:22:05,
17721400,2,1389,0522899,0522899,2026-02-25,2026-02-25 07:22:16,
17721402,3,1389,0522868,0522868,2026-02-25,2026-02-25 07:22:20,
17721404,1,0100,0521909,0521909,2026-02-25,2026-02-25 07:22:26,
17721406,2,0100,0521906,0521906,2026-02-25,2026-02-25 07:22:39,
17721425,1,0916,0521954,0521954,2026-02-25,2026-02-25 07:23:54,
17721426,2,0916,0529139,0529139,2026-02-25,2026-02-25 07:23:55,
17721427,3,0916,0526565,0526565,2026-02-25,2026-02-25 07:23:56,
17721428,1,0287,0525730,0525730,2026-02-25,2026-02-25 07:24:06,
17721432,3,1295,0529828,0529828,2026-02-25,2026-02-25 07:25:13,
17721436,2,0275,0523115,0523115,2026-02-25,2026-02-25 07:25:42,
17721443,3,0100,0521912,0521912,2026-02-25,2026-02-25 07:26:37,
17721477,1,1980,0523604,0523604,2026-02-25,2026-02-25 07:28:07,
17721478,2,1980,0523629,0523629,2026-02-25,2026-02-25 07:28:09,
17721479,1,1060,0520604,0520604,2026-02-25,2026-02-25 07:28:09,
17721480,2,1060,0520641,0520641,2026-02-25,2026-02-25 07:28:12,
17721484,3,1060,0520621,0520621,2026-02-25,2026-02-25 07:28:15,
17721502,3,1980,0523617,0523617,2026-02-25,2026-02-25 07:31:16,
17721517,1,0070,0521591,0521591,2026-02-25,2026-02-25 07:32:57,
17721518,2,0070,0521599,0521599,2026-02-25,2026-02-25 07:32:59,
17721519,3,0070,0521597,0521597,2026-02-25,2026-02-25 07:32:59,
17721521,1,0419,0525252,0525252,2026-02-25,2026-02-25 07:33:03,
17721522,2,0419,0521315,0521315,2026-02-25,2026-02-25 07:33:04,
17721534,3,0419,0521969,0521969,2026-02-25,2026-02-25 07:35:22,
17721541,2,0833,0525708,0525708,2026-02-25,2026-02-25 07:36:02,
17721542,3,0833,0525522,0525522,2026-02-25,2026-02-25 07:36:04,
17721568,1,0118,0526502,0526502,2026-02-25,2026-02-25 07:36:45,
17721571,2,0118,0526513,0526513,2026-02-25,2026-02-25 07:36:46,
17721572,2,0199,0526734,0526734,2026-02-25,2026-02-25 07:36:48,
17721574,3,0118,0529693,0529693,2026-02-25,2026-02-25 07:36:50,
17721580,1,0898,0521855,0521855,2026-02-25,2026-02-25 07:37:03,
17721581,2,0898,0521862,0521862,2026-02-25,2026-02-25 07:37:03,
17721582,3,0898,0521854,0521854,2026-02-25,2026-02-25 07:37:03,
17721585,1,1449,0523509,0523509,2026-02-25,2026-02-25 07:37:12,
17721586,2,1449,0523503,0523503,2026-02-25,2026-02-25 07:37:13,
17721593,1,0847,0521140,0521140,2026-02-25,2026-02-25 07:37:59,
17721595,1,0955,0526480,0526480,2026-02-25,2026-02-25 07:38:07,
17721596,2,0955,0525545,0525545,2026-02-25,2026-02-25 07:38:16,
17721597,1,0117,0520561,0520561,2026-02-25,2026-02-25 07:38:22,
17721598,2,0117,0520582,0520582,2026-02-25,2026-02-25 07:38:24,
17721599,1,0503,0522339,0522339,2026-02-25,2026-02-25 07:38:26,
17721600,3,1449,0523501,0523501,2026-02-25,2026-02-25 07:38:41,
17721601,2,0847,0521141,0521141,2026-02-25,2026-02-25 07:38:41,
17721603,1,1129,0529420,0529420,2026-02-25,2026-02-25 07:39:03,
17721613,3,0847,0521144,0521144,2026-02-25,2026-02-25 07:39:46,
17721616,3,0117,0520552,0520552,2026-02-25,2026-02-25 07:40:01,
17721618,1,0966,0527682,0527682,2026-02-25,2026-02-25 07:40:19,
17721655,3,0955,0525686,0525686,2026-02-25,2026-02-25 07:42:26,
17721681,2,0503,0522337,0522337,2026-02-25,2026-02-25 07:44:43,
17721685,3,0503,0522343,0522343,2026-02-25,2026-02-25 07:45:27,
17721689,3,0275,0523127,0523127,2026-02-25,2026-02-25 07:45:41,
17721700,1,0395,0525326,0525326,2026-02-25,2026-02-25 07:45:46,
17721701,2,0395,0525328,0525328,2026-02-25,2026-02-25 07:45:46,
17721702,3,0395,0523904,0523904,2026-02-25,2026-02-25 07:45:47,
17721762,1,0488,0521799,0521799,2026-02-25,2026-02-25 07:46:36,
17721763,2,0488,0521354,0521354,2026-02-25,2026-02-25 07:46:36,
17721771,1,1020,0520188,0520188,2026-02-25,2026-02-25 07:46:55,
17721776,1,0019,0525390,0525390,2026-02-25,2026-02-25 07:47:22,
17721777,2,0019,0525397,0525397,2026-02-25,2026-02-25 07:47:24,
17721778,3,0488,0521925,0521925,2026-02-25,2026-02-25 07:47:31,
17721794,2,0966,0527679,0527679,2026-02-25,2026-02-25 07:47:50,
17721795,3,0966,0527668,0527668,2026-02-25,2026-02-25 07:47:53,
17721805,1,1000,0525489,0525489,2026-02-25,2026-02-25 07:48:41,
17721806,2,1000,0529865,0529865,2026-02-25,2026-02-25 07:48:45,
17721830,1,1905,0527577,0527577,2026-02-25,2026-02-25 07:50:32,
17721831,2,1905,0529850,0529850,2026-02-25,2026-02-25 07:50:35,
17721832,3,1905,0529856,0529856,2026-02-25,2026-02-25 07:50:37,
17721840,1,1090,0526112,0526112,2026-02-25,2026-02-25 07:51:02,
17721847,2,1090,0526107,0526107,2026-02-25,2026-02-25 07:51:06,
17721851,3,1000,0525485,0525485,2026-02-25,2026-02-25 07:51:15,
17721856,3,1090,0526181,0526181,2026-02-25,2026-02-25 07:51:17,
17721863,1,0830,0521422,0521422,2026-02-25,2026-02-25 07:51:49,
17721864,2,0830,0521424,0521424,2026-02-25,2026-02-25 07:51:50,
17721874,1,1938,0522085,0522085,2026-02-25,2026-02-25 07:52:31,
17721875,1,1353,0529238,0529238,2026-02-25,2026-02-25 07:52:32,
